qa/question,qa/answer
Vad förväntar sig kunden av avtalet?,Kunden förväntar sig bättre ljudkvalitet och täckning.
Antalet abonnemang?,Fem stycken.
Vilken leverantör/operatör kommer kunden flyttas/behållas hos?,Kunden har nyligen bytt till Tele 2.
Hur lång avtalsperiod?,Tre år.
Vilken månadskostnad förväntar kunden sig?,Ungefär 400 kronor i månaden.
Har kunden köpt växel?,Nej.
Har säljaren gått igenom hur växeln kommer fungera?,"Nej, kunden har inte köpt någon växel."
"Är kunden medveten om att de gjort en affär med GR8 Solutions, som återförsäljare?","Nej, det nämns inte i samtalet."
Har kunden och säljaren kommit överens om att avsluta abonnemang/tjänster?,"Nej, det nämns inte i samtalet."
"Har kunden och säljaren kommit överens om ifall säljaren/GR8, ska ersätta kunden för slutfaktura/utköp från befintlig leverantör/operatör?","Nej, det nämns inte i samtalet."
"Innehåller överenskommelsen några hårdvaror som t.ex. telefoner, surfplattor, datorer eller andra produkter?",Nej.
När ska avtalet driftas/börja gälla?,"Avtalet har redan börjat gälla, då kunden bytte till Tele 2 för fem månader sedan."
Har kunden några övriga förväntningar eller har några övriga överenskommelser gjorts?,Kunden förväntar sig att problemen med ljudkvalitet och täckning ska åtgärdas.
